DATAFLOW,MEASURE: Measure,SECTOR: Sector of Ownership,WORK_TYPE: Type of work,BUILDING_TYPE: Type of building,REGION_TYPE: Region Type,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,UNIT_MULT: Unit of Multiplier,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,"120: Semi-detached, row or terrace houses, townhouses - Total",LGA2021: Local Government Areas (2021),3: Queensland,M: Monthly,2021-09,696,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,"120: Semi-detached, row or terrace houses, townhouses - Total",LGA2021: Local Government Areas (2021),4: South Australia,M: Monthly,2021-09,151,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,"120: Semi-detached, row or terrace houses, townhouses - Total",LGA2021: Local Government Areas (2021),5: Western Australia,M: Monthly,2021-09,98,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,"120: Semi-detached, row or terrace houses, townhouses - Total",LGA2021: Local Government Areas (2021),6: Tasmania,M: Monthly,2021-09,5,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,"120: Semi-detached, row or terrace houses, townhouses - Total",LGA2021: Local Government Areas (2021),7: Northern Territory,M: Monthly,2021-09,6,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,"120: Semi-detached, row or terrace houses, townhouses - Total",LGA2021: Local Government Areas (2021),8: Australian Capital Territory,M: Monthly,2021-09,85,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,"121: Semi-detached, row or terrace houses, townhouses - One storey",LGA2021: Local Government Areas (2021),0: Australia,M: Monthly,2021-09,629,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,"121: Semi-detached, row or terrace houses, townhouses - One storey",LGA2021: Local Government Areas (2021),1: New South Wales,M: Monthly,2021-09,301,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,"121: Semi-detached, row or terrace houses, townhouses - One storey",LGA2021: Local Government Areas (2021),2: Victoria,M: Monthly,2021-09,94,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,"121: Semi-detached, row or terrace houses, townhouses - One storey",LGA2021: Local Government Areas (2021),3: Queensland,M: Monthly,2021-09,133,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,"121: Semi-detached, row or terrace houses, townhouses - One storey",LGA2021: Local Government Areas (2021),4: South Australia,M: Monthly,2021-09,48,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,"121: Semi-detached, row or terrace houses, townhouses - One storey",LGA2021: Local Government Areas (2021),5: Western Australia,M: Monthly,2021-09,32,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,"121: Semi-detached, row or terrace houses, townhouses - One storey",LGA2021: Local Government Areas (2021),6: Tasmania,M: Monthly,2021-09,0,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,"121: Semi-detached, row or terrace houses, townhouses - One storey",LGA2021: Local Government Areas (2021),7: Northern Territory,M: Monthly,2021-09,6,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,"121: Semi-detached, row or terrace houses, townhouses - One storey",LGA2021: Local Government Areas (2021),8: Australian Capital Territory,M: Monthly,2021-09,15,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,"122: Semi-detached, row or terrace houses, townhouses - Two or more storeys",LGA2021: Local Government Areas (2021),0: Australia,M: Monthly,2021-09,2490,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,"122: Semi-detached, row or terrace houses, townhouses - Two or more storeys",LGA2021: Local Government Areas (2021),1: New South Wales,M: Monthly,2021-09,744,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,"122: Semi-detached, row or terrace houses, townhouses - Two or more storeys",LGA2021: Local Government Areas (2021),2: Victoria,M: Monthly,2021-09,939,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,"122: Semi-detached, row or terrace houses, townhouses - Two or more storeys",LGA2021: Local Government Areas (2021),3: Queensland,M: Monthly,2021-09,563,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,"122: Semi-detached, row or terrace houses, townhouses - Two or more storeys",LGA2021: Local Government Areas (2021),4: South Australia,M: Monthly,2021-09,103,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,"122: Semi-detached, row or terrace houses, townhouses - Two or more storeys",LGA2021: Local Government Areas (2021),5: Western Australia,M: Monthly,2021-09,66,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,"122: Semi-detached, row or terrace houses, townhouses - Two or more storeys",LGA2021: Local Government Areas (2021),6: Tasmania,M: Monthly,2021-09,5,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,"122: Semi-detached, row or terrace houses, townhouses - Two or more storeys",LGA2021: Local Government Areas (2021),7: Northern Territory,M: Monthly,2021-09,0,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,"122: Semi-detached, row or terrace houses, townhouses - Two or more storeys",LGA2021: Local Government Areas (2021),8: Australian Capital Territory,M: Monthly,2021-09,70,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,130: Apartments - Total including those attached to a house,LGA2021: Local Government Areas (2021),0: Australia,M: Monthly,2021-09,4577,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,130: Apartments - Total including those attached to a house,LGA2021: Local Government Areas (2021),1: New South Wales,M: Monthly,2021-09,2644,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,130: Apartments - Total including those attached to a house,LGA2021: Local Government Areas (2021),2: Victoria,M: Monthly,2021-09,900,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,130: Apartments - Total including those attached to a house,LGA2021: Local Government Areas (2021),3: Queensland,M: Monthly,2021-09,286,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,130: Apartments - Total including those attached to a house,LGA2021: Local Government Areas (2021),4: South Australia,M: Monthly,2021-09,14,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,130: Apartments - Total including those attached to a house,LGA2021: Local Government Areas (2021),5: Western Australia,M: Monthly,2021-09,238,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,130: Apartments - Total including those attached to a house,LGA2021: Local Government Areas (2021),6: Tasmania,M: Monthly,2021-09,0,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,130: Apartments - Total including those attached to a house,LGA2021: Local Government Areas (2021),7: Northern Territory,M: Monthly,2021-09,0,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,130: Apartments - Total including those attached to a house,LGA2021: Local Government Areas (2021),8: Australian Capital Territory,M: Monthly,2021-09,495,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,131: Apartments - In a one or two storey block,LGA2021: Local Government Areas (2021),0: Australia,M: Monthly,2021-09,21,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,131: Apartments - In a one or two storey block,LGA2021: Local Government Areas (2021),1: New South Wales,M: Monthly,2021-09,11,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,131: Apartments - In a one or two storey block,LGA2021: Local Government Areas (2021),2: Victoria,M: Monthly,2021-09,0,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,131: Apartments - In a one or two storey block,LGA2021: Local Government Areas (2021),3: Queensland,M: Monthly,2021-09,0,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,131: Apartments - In a one or two storey block,LGA2021: Local Government Areas (2021),4: South Australia,M: Monthly,2021-09,0,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,131: Apartments - In a one or two storey block,LGA2021: Local Government Areas (2021),5: Western Australia,M: Monthly,2021-09,10,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,131: Apartments - In a one or two storey block,LGA2021: Local Government Areas (2021),6: Tasmania,M: Monthly,2021-09,0,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,131: Apartments - In a one or two storey block,LGA2021: Local Government Areas (2021),7: Northern Territory,M: Monthly,2021-09,0,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,131: Apartments - In a one or two storey block,LGA2021: Local Government Areas (2021),8: Australian Capital Territory,M: Monthly,2021-09,0,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,132: Apartments - In a three storey block,LGA2021: Local Government Areas (2021),0: Australia,M: Monthly,2021-09,66,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,132: Apartments - In a three storey block,LGA2021: Local Government Areas (2021),1: New South Wales,M: Monthly,2021-09,33,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,132: Apartments - In a three storey block,LGA2021: Local Government Areas (2021),2: Victoria,M: Monthly,2021-09,16,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,132: Apartments - In a three storey block,LGA2021: Local Government Areas (2021),3: Queensland,M: Monthly,2021-09,3,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,132: Apartments - In a three storey block,LGA2021: Local Government Areas (2021),4: South Australia,M: Monthly,2021-09,14,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,132: Apartments - In a three storey block,LGA2021: Local Government Areas (2021),5: Western Australia,M: Monthly,2021-09,0,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,132: Apartments - In a three storey block,LGA2021: Local Government Areas (2021),6: Tasmania,M: Monthly,2021-09,0,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,132: Apartments - In a three storey block,LGA2021: Local Government Areas (2021),7: Northern Territory,M: Monthly,2021-09,0,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,132: Apartments - In a three storey block,LGA2021: Local Government Areas (2021),8: Australian Capital Territory,M: Monthly,2021-09,0,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,133: Apartments - In a four to eight storey block,LGA2021: Local Government Areas (2021),0: Australia,M: Monthly,2021-09,2634,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,133: Apartments - In a four to eight storey block,LGA2021: Local Government Areas (2021),1: New South Wales,M: Monthly,2021-09,1248,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,133: Apartments - In a four to eight storey block,LGA2021: Local Government Areas (2021),2: Victoria,M: Monthly,2021-09,884,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,133: Apartments - In a four to eight storey block,LGA2021: Local Government Areas (2021),3: Queensland,M: Monthly,2021-09,139,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,133: Apartments - In a four to eight storey block,LGA2021: Local Government Areas (2021),4: South Australia,M: Monthly,2021-09,0,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,133: Apartments - In a four to eight storey block,LGA2021: Local Government Areas (2021),5: Western Australia,M: Monthly,2021-09,140,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,133: Apartments - In a four to eight storey block,LGA2021: Local Government Areas (2021),6: Tasmania,M: Monthly,2021-09,0,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,133: Apartments - In a four to eight storey block,LGA2021: Local Government Areas (2021),7: Northern Territory,M: Monthly,2021-09,0,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,133: Apartments - In a four to eight storey block,LGA2021: Local Government Areas (2021),8: Australian Capital Territory,M: Monthly,2021-09,223,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,134: Apartments - In a nine or more storey block,LGA2021: Local Government Areas (2021),0: Australia,M: Monthly,2021-09,1856,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,134: Apartments - In a nine or more storey block,LGA2021: Local Government Areas (2021),1: New South Wales,M: Monthly,2021-09,1352,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,134: Apartments - In a nine or more storey block,LGA2021: Local Government Areas (2021),2: Victoria,M: Monthly,2021-09,0,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,134: Apartments - In a nine or more storey block,LGA2021: Local Government Areas (2021),3: Queensland,M: Monthly,2021-09,144,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,134: Apartments - In a nine or more storey block,LGA2021: Local Government Areas (2021),4: South Australia,M: Monthly,2021-09,0,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,134: Apartments - In a nine or more storey block,LGA2021: Local Government Areas (2021),5: Western Australia,M: Monthly,2021-09,88,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,134: Apartments - In a nine or more storey block,LGA2021: Local Government Areas (2021),6: Tasmania,M: Monthly,2021-09,0,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,134: Apartments - In a nine or more storey block,LGA2021: Local Government Areas (2021),7: Northern Territory,M: Monthly,2021-09,0,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,134: Apartments - In a nine or more storey block,LGA2021: Local Government Areas (2021),8: Australian Capital Territory,M: Monthly,2021-09,272,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,150: Total Other Residential,LGA2021: Local Government Areas (2021),0: Australia,M: Monthly,2021-09,7696,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,150: Total Other Residential,LGA2021: Local Government Areas (2021),1: New South Wales,M: Monthly,2021-09,3689,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,150: Total Other Residential,LGA2021: Local Government Areas (2021),2: Victoria,M: Monthly,2021-09,1933,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,150: Total Other Residential,LGA2021: Local Government Areas (2021),3: Queensland,M: Monthly,2021-09,982,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,150: Total Other Residential,LGA2021: Local Government Areas (2021),4: South Australia,M: Monthly,2021-09,165,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,150: Total Other Residential,LGA2021: Local Government Areas (2021),5: Western Australia,M: Monthly,2021-09,336,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,150: Total Other Residential,LGA2021: Local Government Areas (2021),6: Tasmania,M: Monthly,2021-09,5,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,150: Total Other Residential,LGA2021: Local Government Areas (2021),7: Northern Territory,M: Monthly,2021-09,6,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,150: Total Other Residential,LGA2021: Local Government Areas (2021),8: Australian Capital Territory,M: Monthly,2021-09,580,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,2: Alterations and additions,100: Total Residential,LGA2021: Local Government Areas (2021),0: Australia,M: Monthly,2021-09,29,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,2: Alterations and additions,100: Total Residential,LGA2021: Local Government Areas (2021),1: New South Wales,M: Monthly,2021-09,10,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,2: Alterations and additions,100: Total Residential,LGA2021: Local Government Areas (2021),2: Victoria,M: Monthly,2021-09,9,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,2: Alterations and additions,100: Total Residential,LGA2021: Local Government Areas (2021),3: Queensland,M: Monthly,2021-09,4,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,2: Alterations and additions,100: Total Residential,LGA2021: Local Government Areas (2021),4: South Australia,M: Monthly,2021-09,3,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,2: Alterations and additions,100: Total Residential,LGA2021: Local Government Areas (2021),5: Western Australia,M: Monthly,2021-09,1,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,2: Alterations and additions,100: Total Residential,LGA2021: Local Government Areas (2021),6: Tasmania,M: Monthly,2021-09,0,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,2: Alterations and additions,100: Total Residential,LGA2021: Local Government Areas (2021),7: Northern Territory,M: Monthly,2021-09,2,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,2: Alterations and additions,100: Total Residential,LGA2021: Local Government Areas (2021),8: Australian Capital Territory,M: Monthly,2021-09,0,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,7: Conversions,100: Total Residential,LGA2021: Local Government Areas (2021),0: Australia,M: Monthly,2021-09,16,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,7: Conversions,100: Total Residential,LGA2021: Local Government Areas (2021),1: New South Wales,M: Monthly,2021-09,8,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,7: Conversions,100: Total Residential,LGA2021: Local Government Areas (2021),2: Victoria,M: Monthly,2021-09,1,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,7: Conversions,100: Total Residential,LGA2021: Local Government Areas (2021),3: Queensland,M: Monthly,2021-09,3,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,7: Conversions,100: Total Residential,LGA2021: Local Government Areas (2021),4: South Australia,M: Monthly,2021-09,3,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,7: Conversions,100: Total Residential,LGA2021: Local Government Areas (2021),5: Western Australia,M: Monthly,2021-09,0,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,7: Conversions,100: Total Residential,LGA2021: Local Government Areas (2021),6: Tasmania,M: Monthly,2021-09,1,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,7: Conversions,100: Total Residential,LGA2021: Local Government Areas (2021),7: Northern Territory,M: Monthly,2021-09,0,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,7: Conversions,100: Total Residential,LGA2021: Local Government Areas (2021),8: Australian Capital Territory,M: Monthly,2021-09,0,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,8: Alterations and additions including conversions,100: Total Residential,LGA2021: Local Government Areas (2021),0: Australia,M: Monthly,2021-09,45,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,8: Alterations and additions including conversions,100: Total Residential,LGA2021: Local Government Areas (2021),1: New South Wales,M: Monthly,2021-09,18,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,8: Alterations and additions including conversions,100: Total Residential,LGA2021: Local Government Areas (2021),2: Victoria,M: Monthly,2021-09,10,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,8: Alterations and additions including conversions,100: Total Residential,LGA2021: Local Government Areas (2021),3: Queensland,M: Monthly,2021-09,7,NUM: Number,0: Units,,
